,0
PC1,0.028757043
PC2,0.015406959
PC3,0.009442174
PC4,0.0081593525
PC5,0.005014451
PC6,0.004209236
PC7,0.003619976
PC8,0.0034245178
PC9,0.002673314
PC10,0.0025482383
PC11,0.0023463191
PC12,0.002006184
PC13,0.0018186661
PC14,0.0016815865
PC15,0.001623435
PC16,0.0015362959
PC17,0.0013962485
PC18,0.0012820042
PC19,0.0012397756
PC20,0.0011875541
PC21,0.001114871
PC22,0.0010938103
PC23,0.0010528371
PC24,0.0009860771
PC25,0.0009183649
PC26,0.00089270825
PC27,0.0008662996
PC28,0.00084268686
PC29,0.000813518
PC30,0.0007944377
PC31,0.00076455716
PC32,0.00075678725
PC33,0.00074398756
PC34,0.00068671745
PC35,0.00066442677
PC36,0.00065108435
PC37,0.00063238974
PC38,0.00062003435
PC39,0.0005997574
PC40,0.00058311643
PC41,0.00057842623
PC42,0.00057687925
PC43,0.00055544416
PC44,0.0005496672
PC45,0.00052864477
PC46,0.0005191817
PC47,0.00049786404
PC48,0.0004880456
PC49,0.00047652726
PC50,0.00047269132
PC51,0.00044795612
PC52,0.0004434564
PC53,0.0004367069
PC54,0.00041609292
PC55,0.0003968241
PC56,0.0003938325
PC57,0.0003871548
PC58,0.000367746
PC59,0.0003638635
PC60,0.0003589449
PC61,0.0003465432
PC62,0.00033887255
PC63,0.0003312006
PC64,0.0003256849
PC65,0.00032237946
PC66,0.00031393114
PC67,0.00031060603
PC68,0.00029796085
PC69,0.00029009
PC70,0.0002801714
PC71,0.00027782374
PC72,0.00027640778
PC73,0.0002727818
PC74,0.00026700145
PC75,0.00025962418
PC76,0.0002549291
PC77,0.0002486855
PC78,0.0002450473
PC79,0.00024040692
PC80,0.00023553956
PC81,0.00023259482
PC82,0.00022650091
PC83,0.00022136109
PC84,0.00021511494
PC85,0.00021151047
PC86,0.00020620135
PC87,0.00020316277
PC88,0.00019964976
PC89,0.00019121951
PC90,0.00019023103
PC91,0.00018904338
PC92,0.00018243714
PC93,0.00018115721
PC94,0.00017777507
PC95,0.00017223228
PC96,0.00016956193
PC97,0.00016319058
PC98,0.00016114615
PC99,0.00015858292
PC100,0.0001547877
PC101,0.00015287574
PC102,0.00014835705
PC103,0.00014686743
PC104,0.00014328132
PC105,0.00014235132
PC106,0.0001402148
PC107,0.00013744057
PC108,0.00013255521
PC109,0.00013146721
PC110,0.00013114807
PC111,0.00012803245
PC112,0.00012725787
PC113,0.00012461848
PC114,0.000121194025
PC115,0.00011918437
PC116,0.00011829933
PC117,0.00011658187
PC118,0.00011520162
PC119,0.000113044814
